date,symbol,price
2017-03-31,GRPN,3.93
2017-03-31,MSFT,65.860001
2017-03-31,AAPL,143.660004
2017-03-31,PFE,34.209999
2017-03-31,%5eGSPC,2362.719971
2017-03-31,TWO,9.59
2017-03-31,%5eTNX,2.396
2017-03-31,%5eTYX,3.018
2017-03-31,VZ,48.75
2017-03-31,IVR,15.42
2017-03-30,GRPN,3.96
2017-03-30,MSFT,65.709999
2017-03-30,AAPL,143.929993
2017-03-30,PFE,34.349998
2017-03-30,%5eGSPC,2368.060059
2017-03-30,TWO,9.59
2017-03-30,%5eTNX,2.416
2017-03-30,%5eTYX,3.025
2017-03-30,VZ,49.060001
2017-03-30,IVR,15.37
2017-03-29,GRPN,3.93
2017-03-29,MSFT,65.470001
2017-03-29,AAPL,144.119995
2017-03-29,PFE,34.330002
2017-03-29,%5eGSPC,2361.129883
2017-03-29,TWO,9.62
2017-03-29,%5eTNX,2.386
2017-03-29,%5eTYX,2.992
2017-03-29,VZ,49.130001
2017-03-29,IVR,15.33
2017-03-28,GRPN,3.96
2017-03-28,MSFT,65.290001
2017-03-28,AAPL,143.800003
2017-03-28,PFE,34.16
2017-03-28,%5eGSPC,2358.570068
2017-03-28,TWO,9.78
2017-03-28,%5eTNX,2.409
2017-03-28,%5eTYX,3.013
2017-03-28,VZ,49.299999
2017-03-28,IVR,15.04
2017-03-27,GRPN,3.95
2017-03-27,MSFT,65.099998
2017-03-27,AAPL,140.880005
2017-03-27,PFE,34.18
2017-03-27,%5eGSPC,2341.590088
2017-03-27,TWO,9.74
2017-03-27,%5eTNX,2.373
2017-03-27,%5eTYX,2.979
2017-03-27,VZ,49.139999
2017-03-27,IVR,14.94
2017-03-24,GRPN,3.99
2017-03-24,MSFT,64.980003
2017-03-24,AAPL,140.639999
2017-03-24,PFE,34
2017-03-24,%5eGSPC,2343.97998
2017-03-24,TWO,9.68
2017-03-24,%5eTNX,2.4
2017-03-24,%5eTYX,3.002
2017-03-24,VZ,49.68
2017-03-24,IVR,14.9
2017-03-23,GRPN,3.98
2017-03-23,MSFT,64.870003
2017-03-23,AAPL,140.919998
2017-03-23,PFE,34.290001
2017-03-23,%5eGSPC,2345.959961
2017-03-23,TWO,9.72
2017-03-23,%5eTNX,2.418
2017-03-23,%5eTYX,3.026
2017-03-23,VZ,49.639999
2017-03-23,IVR,15.11
2017-03-22,GRPN,3.97
2017-03-22,MSFT,65.029999
2017-03-22,AAPL,141.419998
2017-03-22,PFE,34.470001
2017-03-22,%5eGSPC,2348.449951
2017-03-22,TWO,9.72
2017-03-22,%5eTNX,2.396
2017-03-22,%5eTYX,3.011
2017-03-22,VZ,49.709999
2017-03-22,IVR,15.57
2017-03-21,GRPN,3.9
2017-03-21,MSFT,64.209999
2017-03-21,AAPL,139.839996
2017-03-21,PFE,34.25
2017-03-21,%5eGSPC,2344.02002
2017-03-21,TWO,9.72
2017-03-21,%5eTNX,2.436
2017-03-21,%5eTYX,3.05
2017-03-21,VZ,50.16
2017-03-21,IVR,15.5
2017-03-20,GRPN,4.03
2017-03-20,AAPL,141.460007
2017-03-20,PFE,34.380001
2017-03-20,MSFT,64.93
2017-03-20,%5eGSPC,2373.469971
2017-03-20,TWO,9.62
2017-03-20,%5eTNX,2.473
2017-03-20,%5eTYX,3.09
2017-03-20,IVR,15.48
2017-03-20,VZ,50.240002
2017-03-17,GRPN,4.08
2017-03-17,AAPL,139.990005
2017-03-17,PFE,34.32
2017-03-17,MSFT,64.870003
2017-03-17,%5eGSPC,2378.25
2017-03-17,TWO,9.63
2017-03-17,%5eTNX,2.501
2017-03-17,%5eTYX,3.113
2017-03-17,IVR,15.51
2017-03-17,VZ,50.389999
2017-03-16,GRPN,4.12
2017-03-16,AAPL,140.690002
2017-03-16,PFE,34.43
2017-03-16,MSFT,64.639999
2017-03-16,%5eGSPC,2381.379883
2017-03-16,TWO,9.51
2017-03-16,%5eTNX,2.522
2017-03-16,%5eTYX,3.135
2017-03-16,IVR,15.24
