date,GRPN,MSFT,AAPL,PFE,%5eGSPC,TWO,%5eTNX,%5eTYX,VZ,IVR
2017-03-31,3.93,65.860001,143.660004,34.209999,2362.719971,9.59,2.396,3.018,48.75,15.42
2017-03-30,3.96,65.709999,143.929993,34.349998,2368.060059,9.59,2.416,3.025,49.060001,15.37
2017-03-29,3.93,65.470001,144.119995,34.330002,2361.129883,9.62,2.386,2.992,49.130001,15.33
2017-03-28,3.96,65.290001,143.800003,34.16,2358.570068,9.78,2.409,3.013,49.299999,15.04
2017-03-27,3.95,65.099998,140.880005,34.18,2341.590088,9.74,2.373,2.979,49.139999,14.94
2017-03-24,3.99,64.980003,140.639999,34,2343.97998,9.68,2.4,3.002,49.68,14.9
2017-03-23,3.98,64.870003,140.919998,34.290001,2345.959961,9.72,2.418,3.026,49.639999,15.11
2017-03-22,3.97,65.029999,141.419998,34.470001,2348.449951,9.72,2.396,3.011,49.709999,15.57
2017-03-21,3.9,64.209999,139.839996,34.25,2344.02002,9.72,2.436,3.05,50.16,15.5
2017-03-20,4.03,64.93,141.460007,34.380001,2373.469971,9.62,2.473,3.09,50.240002,15.48
2017-03-17,4.08,64.870003,139.990005,34.32,2378.25,9.63,2.501,3.113,50.389999,15.51
2017-03-16,4.12,64.639999,140.690002,34.43,2381.379883,9.51,2.522,3.135,50.040001,15.24
2017-03-15,4,64.75,140.460007,34.630001,2385.26001,9.51,2.508,3.106,50.139999,15.24
2017-03-14,3.93,64.410004,138.990005,34.220001,2365.449951,9.2,2.595,3.172,49.360001,14.77
2017-03-13,3.97,64.709999,139.199997,34.110001,2373.469971,9.23,2.608,3.192,49.470001,14.9
2017-03-10,3.98,64.93,139.139999,34.110001,2372.600098,9.28,2.582,3.169,49.349998,14.98
2017-03-09,4.04,64.730003,138.679993,34.049999,2364.870117,9.16,2.598,3.183,49.279999,14.77
2017-03-08,4.1,64.989998,139,33.91,2362.97998,9.18,2.552,3.146,49.16,14.87
2017-03-07,4.07,64.400002,139.520004,33.990002,2368.389893,9.32,2.511,3.11,49.439999,15.29
2017-03-06,4.04,64.269997,139.339996,34.349998,2375.310059,9.29,2.49,3.1,50.029999,15.35
2017-03-03,4.02,64.25,139.779999,34.52,2383.120117,9.34,2.492,3.084,50.09,15.32
2017-03-02,4.14,64.010002,138.960007,34.509998,2381.919922,9.32,2.489,3.082,49.98,15.31
2017-03-01,4.26,64.940002,139.789993,34.419998,2395.959961,9.3,2.463,3.071,49.810001,15.53
2017-02-28,4.23,,136.990005,34.119999,,,,,49.630001,15.55
2017-02-27,4.49,,136.929993,34.279999,,,,,49.939999,15.28
2017-02-24,4.47,,136.660004,34.259998,,,,,50.599998,15.31
2017-02-23,4.42,,136.529999,34.060001,,,,,50.310001,15.57
